sku,zip_path,preview_present,listing_json_present,interior_pages,status,generated_at_utc
DIGI-WARBLER-BUNDLE-001,products/digital/delivery-packs/digi-warbler-bundle-001.zip,true,true,5,ready,2026-04-12T07:43:20Z
DIGI-STATE-CALIFORNIA,products/digital/delivery-packs/digi-state-california.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-TEXAS,products/digital/delivery-packs/digi-state-texas.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-FLORIDA,products/digital/delivery-packs/digi-state-florida.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-NEW-YORK,products/digital/delivery-packs/digi-state-new-york.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-WASHINGTON,products/digital/delivery-packs/digi-state-washington.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-COLORADO,products/digital/delivery-packs/digi-state-colorado.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-NORTH-CAROLINA,products/digital/delivery-packs/digi-state-north-carolina.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-ARIZONA,products/digital/delivery-packs/digi-state-arizona.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-OREGON,products/digital/delivery-packs/digi-state-oregon.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-STATE-PENNSYLVANIA,products/digital/delivery-packs/digi-state-pennsylvania.zip,true,false,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-001,products/digital/delivery-packs/digi-migration-weekly-001.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-002,products/digital/delivery-packs/digi-migration-weekly-002.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-003,products/digital/delivery-packs/digi-migration-weekly-003.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-004,products/digital/delivery-packs/digi-migration-weekly-004.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-005,products/digital/delivery-packs/digi-migration-weekly-005.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-006,products/digital/delivery-packs/digi-migration-weekly-006.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-007,products/digital/delivery-packs/digi-migration-weekly-007.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-008,products/digital/delivery-packs/digi-migration-weekly-008.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-WEEKLY-009,products/digital/delivery-packs/digi-migration-weekly-009.zip,true,true,1,ready,2026-04-12T07:43:20Z
DIGI-MIGRATION-FIRST-SEEN-010,products/digital/delivery-packs/digi-migration-first-seen-010.zip,true,true,0,draft,2026-04-12T07:43:20Z
DIGI-WARBLER-PEAK-WEEK-011,products/digital/delivery-packs/digi-warbler-peak-week-011.zip,true,true,1,draft,2026-04-12T07:43:20Z
DIGI-WARBLER-SONG-CODES-012,products/digital/delivery-packs/digi-warbler-song-codes-012.zip,true,true,0,draft,2026-04-12T07:43:20Z
DIGI-WARBLER-HABITAT-013,products/digital/delivery-packs/digi-warbler-habitat-013.zip,true,true,0,draft,2026-04-12T07:43:20Z
DIGI-WARBLER-LIFER-CHECKLIST-014,products/digital/delivery-packs/digi-warbler-lifer-checklist-014.zip,true,true,1,draft,2026-04-12T07:43:20Z
DIGI-PLANNER-GOODNOTES-DAILY-015,products/digital/delivery-packs/digi-planner-goodnotes-daily-015.zip,true,true,0,draft,2026-04-12T07:43:20Z
DIGI-PLANNER-GOODNOTES-WEEKLY-016,products/digital/delivery-packs/digi-planner-goodnotes-weekly-016.zip,true,true,0,draft,2026-04-12T07:43:20Z
DIGI-PLANNER-GOODNOTES-SEASONAL-017,products/digital/delivery-packs/digi-planner-goodnotes-seasonal-017.zip,true,true,0,draft,2026-04-12T07:43:20Z
